,home_team,away_team,rank,standings_gap,date_night,attendance,cLI,orig_scheduled,date
1208,CHW,HOU,5,-11.5,D,20874,0.26,,2025-05-03
1209,CHW,HOU,5,-11.5,D,19418,0.22,,2025-05-04
1214,CHW,MIA,5,-15.0,N,18992,0.12,,2025-05-09
1215,CHW,MIA,5,-15.0,N,24264,0.11,,2025-05-10
1216,CHW,MIA,5,-14.0,D,16805,0.11,,2025-05-11
1223,CHW,SEA,5,-17.0,N,10380,0.09,,2025-05-19
1224,CHW,SEA,5,-17.0,N,11983,0.08,,2025-05-20
1225,CHW,SEA,5,-18.0,D,10556,0.08,,2025-05-21
1226,CHW,TEX,5,-16.5,N,17885,0.07,,2025-05-23
1227,CHW,TEX,5,-15.5,D,19240,0.07,,2025-05-24
1228,CHW,TEX,5,-16.5,D,20908,0.07,,2025-05-25
1236,CHW,DET,5,-21.5,N,11852,0.03,,2025-06-02
1237,CHW,DET,5,-20.5,N,12308,0.02,,2025-06-03
1238,CHW,DET,5,-21.5,N,12381,0.03,,2025-06-04
1239,CHW,DET,5,-20.5,D,11630,0.02,,2025-06-05
1240,CHW,KCR,5,-20.5,N,36916,0.02,,2025-06-06
1241,CHW,KCR,5,-19.5,D,19099,0.03,,2025-06-07
1242,CHW,KCR,5,-20.5,D,22137,0.04,,2025-06-08
1249,CHW,STL,5,-23.5,N,16974,0.01,,2025-06-17
1251,CHW,STL,5,-24.5,D,20816,0.0,,2025-06-19
1255,CHW,ARI,5,-24.0,N,12579,0.0,,2025-06-23
1256,CHW,ARI,5,-25.0,N,13001,0.0,,2025-06-24
1257,CHW,ARI,5,-24.0,D,10217,0.0,,2025-06-25
1258,CHW,SFG,5,-24.5,N,27549,0.0,,2025-06-27
1259,CHW,SFG,5,-24.5,D,20090,0.0,,2025-06-28
1260,CHW,SFG,5,-24.5,D,20225,0.0,,2025-06-29
1268,CHW,TOR,5,-27.5,N,13292,0.0,,2025-07-07
1269,CHW,TOR,5,-28.5,N,13027,0.0,,2025-07-08
1270,CHW,TOR,5,-27.5,D,11123,0.0,,2025-07-09
1271,CHW,CLE,5,-27.0,D,12869,0.0,,2025-07-11
1272,CHW,CLE,5,-27.0,N,25084,0.0,,2025-07-11
1273,CHW,CLE,5,-27.0,D,21785,0.0,,2025-07-12
1274,CHW,CLE,5,-27.0,D,24680,0.0,,2025-07-13
1281,CHW,CHC,5,-21.5,N,38762,0.0,,2025-07-25
1282,CHW,CHC,5,-21.5,N,38432,0.0,,2025-07-26
1283,CHW,CHC,5,-22.5,D,38036,0.0,,2025-07-27
1284,CHW,PHI,5,-22.5,N,15106,0.0,,2025-07-28
1285,CHW,PHI,5,-23.5,N,20730,0.0,,2025-07-29
1286,CHW,PHI,5,-23.5,D,12718,0.0,,2025-07-30
1294,CHW,CLE,5,-24.5,N,21007,0.0,,2025-08-08
1295,CHW,CLE,5,-24.5,N,17893,0.0,,2025-08-09
1296,CHW,CLE,5,-24.5,D,19750,0.0,,2025-08-10
1297,CHW,DET,5,-25.5,N,16054,0.0,,2025-08-11
1298,CHW,DET,5,-24.5,N,19494,0.0,,2025-08-12
1299,CHW,DET,5,-25.5,D,13647,0.0,,2025-08-13
1306,CHW,MIN,5,-31.0,N,22372,0.0,,2025-08-22
1307,CHW,MIN,5,-31.0,N,16998,0.0,,2025-08-23
1308,CHW,MIN,5,-30.0,D,18723,0.0,,2025-08-24
1309,CHW,KCR,5,-29.0,N,10444,0.0,,2025-08-25
1310,CHW,KCR,5,-29.0,N,10907,0.0,,2025-08-26
1311,CHW,KCR,5,-29.0,N,10598,0.0,,2025-08-27
1312,CHW,NYY,5,-29.5,N,18187,0.0,,2025-08-28
1313,CHW,NYY,5,-30.5,N,28069,0.0,,2025-08-29
1314,CHW,NYY,5,-30.5,N,26624,0.0,,2025-08-30
1315,CHW,NYY,5,-30.5,D,27810,0.0,,2025-08-31
1324,CHW,TBR,5,-28.0,N,12487,0.0,,2025-09-09
1325,CHW,TBR,5,-28.0,N,12099,0.0,,2025-09-10
1326,CHW,TBR,5,-27.0,D,11850,0.0,,2025-09-11
1330,CHW,BAL,5,-28.5,N,11020,0.0,,2025-09-15
1331,CHW,BAL,5,-28.5,N,12428,0.0,,2025-09-16
1332,CHW,BAL,5,-28.5,D,10919,0.0,,2025-09-17
1333,CHW,SDP,5,-27.0,N,30505,0.0,,2025-09-19
1334,CHW,SDP,5,-27.0,N,27345,0.0,,2025-09-20
1335,CHW,SDP,5,-27.0,D,24205,0.0,,2025-09-21
1342,CIN,SFG,2,-1.0,D,43876,0.98,,2025-03-27
1343,CIN,SFG,2,-1.0,D,40200,0.9,,2025-03-29
1344,CIN,SFG,2,-2.0,D,14089,0.97,,2025-03-30
1345,CIN,TEX,2,-1.0,N,10533,0.84,,2025-03-31
1347,CIN,TEX,3,-1.0,N,14852,0.92,,2025-04-01
1348,CIN,TEX,3,-2.0,D,13322,0.88,,2025-04-02
1356,CIN,PIT,4,-2.0,N,16375,0.83,,2025-04-11
1357,CIN,PIT,3,-2.0,N,31188,0.83,,2025-04-12
1358,CIN,PIT,2,-2.0,D,24358,0.9,,2025-04-13
1359,CIN,SEA,2,-1.5,N,17205,0.86,,2025-04-15
1360,CIN,SEA,3,-1.5,N,11817,0.92,,2025-04-16
1361,CIN,SEA,3,-2.0,D,18032,0.87,,2025-04-17
1371,CIN,STL,2,-1.0,N,15147,1.1,,2025-04-28
1372,CIN,STL,2,-2.0,D,15709,1.11,,2025-04-30
1373,CIN,STL,2,-2.0,N,13550,1.06,,2025-04-30
1375,CIN,STL,2,-2.0,D,15513,1.0,,2025-05-01
1376,CIN,WSN,2,-2.0,N,19509,1.03,,2025-05-02
1377,CIN,WSN,2,-3.0,N,26224,1.04,,2025-05-03
1378,CIN,WSN,2,-3.0,D,23494,1.01,,2025-05-04
1386,CIN,CHW,3,-5.0,N,18997,0.79,,2025-05-13
1387,CIN,CHW,4,-5.0,N,43585,0.7,,2025-05-14
1388,CIN,CHW,4,-4.5,D,19513,0.67,,2025-05-15
1389,CIN,CLE,3,-4.5,N,26131,0.72,,2025-05-16
1390,CIN,CLE,3,-4.5,N,38586,0.76,,2025-05-17
1391,CIN,CLE,3,-4.5,D,27628,0.78,,2025-05-18
1395,CIN,CHC,3,-6.5,N,30120,0.91,,2025-05-23
1396,CIN,CHC,3,-5.5,D,40409,0.78,,2025-05-24
1397,CIN,CHC,3,-6.5,D,32822,0.81,,2025-05-25
1405,CIN,MIL,4,-9.0,N,18711,0.68,,2025-06-02
1406,CIN,MIL,4,-9.0,N,25749,0.63,,2025-06-03
1407,CIN,MIL,4,-9.0,D,21775,0.69,,2025-06-04
1408,CIN,ARI,4,-8.5,D,24697,0.59,,2025-06-06
1409,CIN,ARI,4,-8.5,D,27951,0.6,,2025-06-07
1410,CIN,ARI,4,-7.5,D,21083,0.68,,2025-06-08
1417,CIN,MIN,3,-7.0,N,26153,0.84,,2025-06-17
1418,CIN,MIN,2,-6.5,N,25911,0.93,,2025-06-18
1419,CIN,MIN,4,-6.5,D,27306,0.97,,2025-06-19
1423,CIN,NYY,4,-5.5,N,31418,0.82,,2025-06-23
1424,CIN,NYY,4,-4.5,N,39257,0.91,,2025-06-24
1425,CIN,NYY,4,-5.5,N,27620,1.01,,2025-06-25
1426,CIN,SDP,4,-5.0,N,26746,0.99,,2025-06-27
1427,CIN,SDP,4,-6.0,D,31380,1.05,,2025-06-28
1428,CIN,SDP,4,-5.0,D,23510,0.94,,2025-06-29
1436,CIN,MIA,4,-8.5,N,17167,0.81,,2025-07-07
1437,CIN,MIA,4,-8.5,N,22399,0.73,,2025-07-08
1438,CIN,MIA,4,-7.5,N,15867,0.64,,2025-07-09
1439,CIN,MIA,4,-7.5,N,28950,0.72,,2025-07-10
1440,CIN,COL,4,-7.5,N,31092,0.79,,2025-07-11
1441,CIN,COL,4,-7.5,D,33663,0.7,,2025-07-12
1442,CIN,COL,4,-7.5,D,24541,0.74,,2025-07-13
1449,CIN,TBR,3,-7.5,N,30110,0.81,,2025-07-25
1450,CIN,TBR,3,-6.5,N,39848,0.89,,2025-07-26
1451,CIN,TBR,3,-6.5,D,20258,0.96,,2025-07-27
1452,CIN,LAD,3,-7.5,N,33589,1.12,,2025-07-28
1453,CIN,LAD,3,-8.5,N,36135,1.01,,2025-07-29
1454,CIN,LAD,3,-7.5,N,32976,0.91,,2025-07-30
1455,CIN,ATL,3,-8.0,N,27169,0.94,,2025-07-31
1457,CIN,ATL,3,-8.0,D,29269,0.86,,2025-08-01
1458,CIN,ATL,3,-9.0,D,91032,0.87,,2025-08-02
1466,CIN,PHI,3,-13.0,N,43800,0.88,,2025-08-11
1467,CIN,PHI,3,-13.0,N,29654,0.88,,2025-08-12
1468,CIN,PHI,3,-13.0,N,25869,0.93,,2025-08-13
1469,CIN,MIL,3,-14.0,N,25470,1.0,,2025-08-15
1470,CIN,MIL,3,-15.0,N,39022,0.95,,2025-08-16
1471,CIN,MIL,3,-14.0,D,26426,0.95,,2025-08-17
1481,CIN,STL,3,-15.5,N,21587,0.71,,2025-08-29
1482,CIN,STL,3,-16.5,N,32076,0.55,,2025-08-30
1483,CIN,STL,3,-15.5,D,27238,0.52,,2025-08-31
1485,CIN,TOR,3,-14.5,D,21773,0.62,,2025-09-01
1486,CIN,TOR,3,-15.0,N,20769,0.66,,2025-09-02
1487,CIN,TOR,3,-16.0,N,17134,0.52,,2025-09-03
1488,CIN,NYM,3,-16.5,N,21231,0.56,,2025-09-05
1489,CIN,NYM,3,-16.5,N,26782,0.36,,2025-09-06
1490,CIN,NYM,3,-16.5,D,25662,0.54,,2025-09-07
1500,CIN,CHC,3,-17.0,N,18532,1.15,,2025-09-18
1501,CIN,CHC,3,-16.0,N,25584,1.33,,2025-09-19
1502,CIN,CHC,3,-16.0,N,31756,1.43,,2025-09-20
1503,CIN,CHC,3,-15.0,D,29661,1.96,,2025-09-21
1504,CIN,PIT,3,-14.5,N,29847,2.23,,2025-09-23
1505,CIN,PIT,3,-15.5,N,30725,2.2,,2025-09-24
1506,CIN,PIT,3,-15.0,D,24249,2.35,,2025-09-25
1520,CLE,CHW,3,-2.5,D,33722,0.9,,2025-04-08
1521,CLE,CHW,3,-1.5,N,12997,0.96,,2025-04-09
1522,CLE,CHW,3,-1.0,D,12663,1.0,,2025-04-10
1523,CLE,KCR,2,-1.0,N,15430,1.09,,2025-04-11
1524,CLE,KCR,2,-1.0,N,20256,1.15,,2025-04-12
1525,CLE,KCR,2,-1.0,D,17864,1.18,,2025-04-13
1532,CLE,NYY,2,-0.5,N,20896,1.2,,2025-04-21
1533,CLE,NYY,1,0.5,N,21549,1.21,,2025-04-22
1534,CLE,NYY,2,-0.5,D,23981,1.29,,2025-04-23
1535,CLE,BOS,2,-1.5,D,17367,1.18,,2025-04-26
1536,CLE,BOS,2,-1.5,N,24316,1.21,,2025-04-26
1537,CLE,BOS,2,-2.5,D,24621,1.16,,2025-04-27
1538,CLE,MIN,2,-2.5,N,15018,1.18,,2025-04-28
1539,CLE,MIN,2,-1.5,N,14312,1.15,,2025-04-29
1540,CLE,MIN,2,-1.5,N,15523,1.19,,2025-04-30
1542,CLE,MIN,2,-1.5,D,15968,1.21,,2025-05-01
1549,CLE,PHI,2,-2.5,N,25328,1.16,,2025-05-09
1550,CLE,PHI,2,-2.5,N,34782,1.15,,2025-05-10
1551,CLE,PHI,2,-2.5,N,20304,1.15,,2025-05-11
1552,CLE,MIL,2,-2.5,N,17359,1.15,,2025-05-12
1553,CLE,MIL,2,-2.5,N,16153,1.13,,2025-05-13
1554,CLE,MIL,2,-3.5,D,25063,1.14,,2025-05-14
1564,CLE,LAD,2,-5.0,N,34711,1.13,,2025-05-26
1565,CLE,LAD,3,-6.0,N,25422,1.12,,2025-05-27
1566,CLE,LAD,2,-6.0,D,23381,1.09,,2025-05-28
1567,CLE,LAA,3,-7.0,N,31407,1.12,,2025-05-30
1568,CLE,LAA,2,-6.0,D,28184,1.08,,2025-05-31
1570,CLE,LAA,2,-6.0,D,26518,1.14,,2025-06-01
1574,CLE,HOU,3,-7.5,N,31819,1.16,,2025-06-06
1575,CLE,HOU,3,-7.5,D,31717,1.12,,2025-06-07
1576,CLE,HOU,3,-7.5,D,23876,1.07,,2025-06-08
1577,CLE,CIN,3,-8.0,N,23436,1.04,,2025-06-09
1578,CLE,CIN,3,-9.0,N,26753,1.0,,2025-06-10
1579,CLE,CIN,3,-8.0,D,28564,0.95,,2025-06-11
1589,CLE,TOR,2,-9.5,N,22525,1.13,,2025-06-24
1590,CLE,TOR,2,-8.5,N,23849,1.05,,2025-06-25
1591,CLE,TOR,2,-9.5,D,26217,1.12,,2025-06-26
1592,CLE,STL,2,-9.5,N,34787,0.92,,2025-06-27
1593,CLE,STL,2,-10.5,D,32484,0.9,,2025-06-28
1594,CLE,STL,2,-11.5,D,27935,0.8,,2025-06-29
1599,CLE,DET,4,-13.5,N,38213,0.63,,2025-07-04
1600,CLE,DET,4,-14.5,N,34580,0.53,,2025-07-05
1601,CLE,DET,4,-15.5,D,30953,0.42,,2025-07-06
1609,CLE,ATH,2,-11.0,N,34691,0.61,,2025-07-18
1610,CLE,ATH,2,-11.0,N,32949,0.72,,2025-07-19
1611,CLE,ATH,2,-11.0,D,25855,0.61,,2025-07-20
1612,CLE,BAL,2,-10.0,N,21748,0.66,,2025-07-21
1613,CLE,BAL,2,-9.0,N,22714,0.77,,2025-07-22
1614,CLE,BAL,2,-8.0,N,30476,0.82,,2025-07-23
1615,CLE,BAL,2,-8.0,D,26223,0.89,,2025-07-24
1619,CLE,COL,2,-9.0,N,19130,0.79,,2025-07-28
1620,CLE,COL,2,-9.0,N,19803,0.73,,2025-07-29
1621,CLE,COL,2,-9.0,N,21560,0.77,,2025-07-30
1623,CLE,MIN,2,-8.0,N,32777,0.84,,2025-08-01
1624,CLE,MIN,2,-8.0,D,35116,0.98,,2025-08-02
1625,CLE,MIN,2,-8.0,D,29240,1.03,,2025-08-03
1632,CLE,MIA,2,-5.5,N,21874,1.3,,2025-08-12
1633,CLE,MIA,2,-6.5,N,19738,1.35,,2025-08-13
1634,CLE,MIA,2,-6.5,N,22605,1.27,,2025-08-14
1635,CLE,ATL,2,-7.5,N,33571,1.29,,2025-08-15
1636,CLE,ATL,2,-8.5,N,34059,1.24,,2025-08-16
1637,CLE,ATL,2,-8.5,D,28899,1.07,,2025-08-17
1644,CLE,TBR,3,-12.5,N,16325,0.64,,2025-08-25
1645,CLE,TBR,3,-11.5,N,19729,0.49,,2025-08-26
1646,CLE,TBR,3,-10.5,D,23316,0.57,,2025-08-27
1647,CLE,SEA,3,-10.5,N,32012,0.65,,2025-08-29
1648,CLE,SEA,3,-9.5,N,33203,0.81,,2025-08-30
1649,CLE,SEA,3,-10.5,D,34136,0.93,,2025-08-31
1658,CLE,KCR,2,-8.5,N,15875,0.9,,2025-09-08
1659,CLE,KCR,2,-8.5,N,15458,0.94,,2025-09-09
1660,CLE,KCR,2,-9.5,N,16816,1.03,,2025-09-10
1661,CLE,KCR,2,-8.5,N,15962,0.67,,2025-09-11
1662,CLE,CHW,2,-7.5,N,21779,0.8,,2025-09-12
1663,CLE,CHW,2,-6.5,N,28463,0.89,,2025-09-13
1664,CLE,CHW,2,-6.5,D,22320,0.92,,2025-09-14
1672,CLE,DET,1,0.0,N,29571,3.11,,2025-09-23
1673,CLE,DET,1,1.0,N,26293,2.25,,2025-09-24
1674,CLE,DET,1,0.0,N,30942,0.95,,2025-09-25
1675,CLE,TEX,1,0.0,N,36275,1.51,,2025-09-26
1676,CLE,TEX,1,0.0,N,36000,1.42,,2025-09-27
1677,CLE,TEX,1,1.0,D,31054,1.02,,2025-09-28
1685,COL,ATH,5,-6.0,D,48015,0.67,,2025-04-04
1686,COL,ATH,5,-7.0,N,27599,0.62,,2025-04-05
1687,COL,ATH,5,-6.0,D,26207,0.57,,2025-04-06
1688,COL,MIL,5,-6.0,N,18657,0.65,,2025-04-08
1689,COL,MIL,5,-7.0,N,18867,0.64,,2025-04-09
1690,COL,MIL,5,-6.5,D,18593,0.54,,2025-04-10
1697,COL,WSN,5,-11.0,D,24606,0.3,,2025-04-19
1698,COL,WSN,5,-11.5,D,24176,0.28,,2025-04-20
1699,COL,WSN,5,-11.5,N,18703,0.23,,2025-04-20
1703,COL,CIN,5,-12.5,N,21743,0.19,,2025-04-25
1704,COL,CIN,5,-13.0,D,34030,0.17,,2025-04-26
1705,COL,CIN,5,-14.0,D,28408,0.14,,2025-04-27
1706,COL,ATL,5,-14.5,N,18852,0.1,,2025-04-28
1707,COL,ATL,5,-15.5,N,19010,0.1,,2025-04-29
1708,COL,ATL,5,-15.5,D,29661,0.07,,2025-04-30
1714,COL,DET,5,-18.0,N,18855,0.05,,2025-05-07
1716,COL,DET,5,-18.5,D,23030,0.03,,2025-05-08
1717,COL,SDP,5,-19.5,N,30490,0.03,,2025-05-09
1718,COL,SDP,5,-19.5,N,38423,0.02,,2025-05-10
1719,COL,SDP,5,-19.5,D,34422,0.02,,2025-05-11
1726,COL,PHI,5,-20.5,N,23487,0.01,,2025-05-19
1727,COL,PHI,5,-21.5,N,24431,0.0,,2025-05-20
1728,COL,PHI,5,-22.5,N,23421,0.0,,2025-05-21
1729,COL,PHI,5,-23.0,D,23308,0.0,,2025-05-22
1730,COL,NYY,5,-23.0,N,47211,0.0,,2025-05-23
1731,COL,NYY,5,-23.0,D,43186,0.0,,2025-05-24
1732,COL,NYY,5,-23.0,D,38379,0.0,,2025-05-25
1743,COL,NYM,5,-25.5,N,34890,0.0,,2025-06-06
1744,COL,NYM,5,-25.5,N,38279,0.0,,2025-06-07
1745,COL,NYM,5,-26.5,D,40548,0.0,,2025-06-08
1746,COL,SFG,5,-27.0,N,24553,0.0,,2025-06-10
1747,COL,SFG,5,-28.0,N,23532,0.0,,2025-06-11
1748,COL,SFG,5,-27.5,D,28168,0.0,,2025-06-12
1756,COL,ARI,5,-29.5,N,31851,0.0,,2025-06-20
1757,COL,ARI,5,-29.5,N,34076,0.0,,2025-06-21
1758,COL,ARI,5,-29.5,D,28565,0.0,,2025-06-22
1759,COL,LAD,5,-30.5,N,36492,0.0,,2025-06-24
1760,COL,LAD,5,-31.5,N,43881,0.0,,2025-06-25
1761,COL,LAD,5,-32.5,D,38091,0.0,,2025-06-26
1766,COL,HOU,5,-34.5,N,30303,0.0,,2025-07-01
1767,COL,HOU,5,-35.5,N,30545,0.0,,2025-07-02
1768,COL,HOU,5,-35.5,D,25151,0.0,,2025-07-03
1769,COL,CHW,5,-35.5,N,48064,0.0,,2025-07-04
1770,COL,CHW,5,-35.5,N,47351,0.0,,2025-07-05
1771,COL,CHW,5,-34.5,D,25662,0.0,,2025-07-06
1778,COL,MIN,5,-34.5,N,37759,0.0,,2025-07-18
1779,COL,MIN,5,-33.5,N,42131,0.0,,2025-07-19
1780,COL,MIN,5,-33.5,D,27796,0.0,,2025-07-20
1781,COL,STL,5,-34.5,N,27707,0.0,,2025-07-21
1782,COL,STL,5,-33.5,N,30137,0.0,,2025-07-22
1783,COL,STL,5,-33.5,D,27711,0.0,,2025-07-23
1791,COL,PIT,5,-34.5,N,36030,0.0,,2025-08-01
1792,COL,PIT,5,-33.5,D,33046,0.0,,2025-08-02
1793,COL,PIT,5,-34.5,D,32394,0.0,,2025-08-03
1794,COL,TOR,5,-34.5,N,22075,0.0,,2025-08-04
1795,COL,TOR,5,-35.5,N,25141,0.0,,2025-08-05
1796,COL,TOR,5,-35.5,D,21749,0.0,,2025-08-06
1803,COL,ARI,5,-37.0,N,23045,0.0,,2025-08-14
1804,COL,ARI,5,-36.0,N,26081,0.0,,2025-08-15
1805,COL,ARI,5,-36.0,N,27929,0.0,,2025-08-16
1806,COL,ARI,5,-36.0,D,22895,0.0,,2025-08-17
1807,COL,LAD,5,-35.0,N,27259,0.0,,2025-08-18
1808,COL,LAD,5,-36.0,N,25480,0.0,,2025-08-19
1809,COL,LAD,5,-35.0,N,35240,0.0,,2025-08-20
1810,COL,LAD,5,-36.0,D,28305,0.0,,2025-08-21
1817,COL,CHC,5,-39.0,N,33747,0.0,,2025-08-29
1818,COL,CHC,5,-39.0,N,47394,0.0,,2025-08-30
1819,COL,CHC,5,-39.0,D,40264,0.0,,2025-08-31
1821,COL,SFG,5,-39.5,D,28805,0.0,,2025-09-01
1822,COL,SFG,5,-39.5,N,18934,0.0,,2025-09-02
1823,COL,SFG,5,-39.5,N,19802,0.0,,2025-09-03
1824,COL,SDP,5,-38.0,N,30073,0.0,,2025-09-05
1825,COL,SDP,5,-38.0,N,43461,0.0,,2025-09-06
1826,COL,SDP,5,-39.0,D,27555,0.0,,2025-09-07
1834,COL,MIA,5,-43.0,N,22764,0.0,,2025-09-16
1835,COL,MIA,5,-44.0,N,21862,0.0,,2025-09-17
1836,COL,MIA,5,-45.0,D,21760,0.0,,2025-09-18
1837,COL,LAA,5,-45.0,N,47587,0.0,,2025-09-19
1838,COL,LAA,5,-46.0,N,36407,0.0,,2025-09-20
1839,COL,LAA,5,-45.0,D,28516,0.0,,2025-09-21
1853,DET,CHW,1,0.0,D,44735,0.99,,2025-04-04
1854,DET,CHW,1,1.0,D,26098,1.03,,2025-04-05
1855,DET,CHW,1,1.0,D,20981,1.01,,2025-04-06
1856,DET,NYY,1,1.0,D,14132,1.04,,2025-04-07
1857,DET,NYY,1,1.0,D,14156,1.14,,2025-04-08
1858,DET,NYY,1,1.0,D,14616,1.1,,2025-04-09
1865,DET,KCR,1,1.5,N,15769,1.18,,2025-04-17
1866,DET,KCR,1,1.5,N,25754,1.22,,2025-04-18
1867,DET,KCR,1,1.5,D,32043,1.25,,2025-04-19
1868,DET,KCR,1,0.5,D,17712,1.26,,2025-04-20
1869,DET,SDP,1,0.5,N,17581,1.12,,2025-04-21
1870,DET,SDP,2,-0.5,N,19321,1.2,,2025-04-22
1871,DET,SDP,1,0.5,D,21016,1.12,,2025-04-23
1872,DET,BAL,1,1.5,D,28509,1.24,,2025-04-26
1873,DET,BAL,1,1.5,N,21422,1.21,,2025-04-26
1874,DET,BAL,1,2.5,D,28613,1.23,,2025-04-27
1886,DET,TEX,1,2.5,N,28407,1.22,,2025-05-09
1887,DET,TEX,1,2.5,N,40844,1.19,,2025-05-10
1888,DET,TEX,1,2.5,D,36138,1.26,,2025-05-11
1889,DET,BOS,1,2.5,N,20136,1.3,,2025-05-12
1890,DET,BOS,1,2.5,N,20115,1.25,,2025-05-13
1891,DET,BOS,1,3.5,N,21013,1.24,,2025-05-14
1898,DET,CLE,1,5.0,N,21937,1.34,,2025-05-22
1899,DET,CLE,1,4.0,N,26701,1.36,,2025-05-23
1900,DET,CLE,1,3.0,N,37256,1.42,,2025-05-24
1901,DET,CLE,1,4.0,D,37031,1.41,,2025-05-25
1902,DET,SFG,1,5.0,D,31640,1.23,,2025-05-26
1903,DET,SFG,1,5.0,N,21092,1.18,,2025-05-27
1904,DET,SFG,1,6.0,D,31602,1.14,,2025-05-28
1913,DET,CHC,1,7.0,N,40132,1.09,,2025-06-06
1914,DET,CHC,1,7.0,D,41034,1.04,,2025-06-07
1915,DET,CHC,1,7.0,D,40343,1.08,,2025-06-08
1919,DET,CIN,1,9.0,N,40413,0.95,,2025-06-13
1920,DET,CIN,1,9.0,D,38199,0.9,,2025-06-14
1921,DET,CIN,1,9.0,D,40418,0.96,,2025-06-15
1922,DET,PIT,1,9.5,N,27449,0.97,,2025-06-17
1923,DET,PIT,1,9.5,D,33368,0.94,,2025-06-19
1924,DET,PIT,1,9.5,N,28540,0.88,,2025-06-19
1928,DET,ATH,1,9.5,N,22929,0.95,,2025-06-24
1929,DET,ATH,1,8.5,N,21872,0.94,,2025-06-25
1930,DET,ATH,1,9.5,D,27676,1.0,,2025-06-26
1931,DET,MIN,1,9.5,N,32120,1.02,,2025-06-27
1932,DET,MIN,1,10.5,D,33780,1.08,,2025-06-28
1933,DET,MIN,1,11.5,N,40718,1.01,,2025-06-29
1941,DET,TBR,1,14.0,N,22657,0.83,,2025-07-07
1942,DET,TBR,1,14.0,N,25198,0.74,,2025-07-08
1943,DET,TBR,1,13.0,N,22019,0.66,,2025-07-09
1944,DET,SEA,1,12.5,N,41681,0.74,,2025-07-11
1945,DET,SEA,1,11.5,D,36438,0.83,,2025-07-12
1946,DET,SEA,1,11.5,D,34671,0.9,,2025-07-13
1953,DET,TOR,1,8.0,N,30051,1.47,,2025-07-24
1954,DET,TOR,1,7.5,N,37820,1.55,,2025-07-25
1955,DET,TOR,1,7.0,N,40528,1.56,,2025-07-26
1956,DET,TOR,1,8.0,D,36053,1.58,,2025-07-27
1957,DET,ARI,1,9.0,N,23124,1.42,,2025-07-28
1958,DET,ARI,1,9.0,N,27697,1.31,,2025-07-29
1959,DET,ARI,1,9.0,D,29033,1.23,,2025-07-30
1964,DET,MIN,1,8.0,N,24018,1.25,,2025-08-04
1965,DET,MIN,1,7.0,N,26313,1.17,,2025-08-05
1966,DET,MIN,1,6.0,D,29192,1.33,,2025-08-06
1967,DET,LAA,1,6.0,N,35290,1.44,,2025-08-08
1968,DET,LAA,1,5.0,N,37741,1.46,,2025-08-09
1969,DET,LAA,1,6.0,D,30810,1.54,,2025-08-10
1977,DET,HOU,1,8.5,N,27008,1.51,,2025-08-18
1978,DET,HOU,1,9.0,N,30770,1.27,,2025-08-19
1979,DET,HOU,1,10.0,D,29216,1.28,,2025-08-20
1980,DET,KCR,1,10.5,N,33467,0.69,,2025-08-22
1981,DET,KCR,1,11.5,N,37709,0.6,,2025-08-23
1982,DET,KCR,1,10.5,D,31538,0.55,,2025-08-24
1990,DET,NYM,1,9.0,D,38912,0.74,,2025-09-01
1991,DET,NYM,1,9.0,N,24733,0.91,,2025-09-02
1992,DET,NYM,1,10.0,D,21775,0.88,,2025-09-03
1993,DET,CHW,1,8.5,N,35216,0.7,,2025-09-05
1994,DET,CHW,1,8.5,N,32115,0.71,,2025-09-06
1995,DET,CHW,1,8.5,D,29292,0.69,,2025-09-07
2002,DET,CLE,1,5.5,N,31639,1.46,,2025-09-16
2003,DET,CLE,1,4.5,N,34415,2.04,,2025-09-17
2004,DET,CLE,1,3.5,D,34267,2.6,,2025-09-18
2005,DET,ATL,1,2.5,N,33554,2.77,,2025-09-19
2006,DET,ATL,1,1.0,D,38079,2.99,,2025-09-20
2007,DET,ATL,1,1.0,D,34042,2.76,,2025-09-21
2014,HOU,NYM,1,0.0,D,42305,0.91,,2025-03-27
2015,HOU,NYM,1,0.0,N,37004,0.96,,2025-03-28
2016,HOU,NYM,1,0.0,N,41742,0.91,,2025-03-29
2017,HOU,SFG,3,-1.0,N,28324,0.9,,2025-03-31
2019,HOU,SFG,3,-2.0,N,30314,0.89,,2025-04-01
2020,HOU,SFG,4,-2.5,D,24114,0.86,,2025-04-02
2027,HOU,LAA,3,-2.5,N,34459,0.95,,2025-04-11
2028,HOU,LAA,4,-3.0,N,36102,0.98,,2025-04-12
2029,HOU,LAA,4,-2.0,D,37032,0.96,,2025-04-13
2033,HOU,SDP,4,-2.5,N,41431,0.84,,2025-04-18
2034,HOU,SDP,3,-2.5,N,39287,0.89,,2025-04-19
2035,HOU,SDP,4,-2.5,N,31940,0.95,,2025-04-20
2036,HOU,TOR,4,-2.0,N,28219,0.94,,2025-04-21
2037,HOU,TOR,2,-2.0,N,29825,0.98,,2025-04-22
2038,HOU,TOR,2,-1.0,N,25209,1.04,,2025-04-23
2042,HOU,DET,2,-1.0,N,26395,1.05,,2025-04-28
2043,HOU,DET,2,-1.0,N,28904,1.1,,2025-04-29
2044,HOU,DET,2,-2.0,D,27568,1.11,,2025-04-30
2052,HOU,CIN,2,-3.0,N,36857,0.94,,2025-05-09
2053,HOU,CIN,3,-3.0,N,32335,0.98,,2025-05-10
